,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
0,2019-08-10 00:00:00,3,3,0,8,82,14,0,2,1,14,44,0,4,0,25,4,9,0,0,0,3,0,13,16,2
1,2019-08-10 00:30:00,4,0,2,6,54,13,0,2,0,9,49,0,4,0,27,5,4,0,0,0,2,0,9,13,2
2,2019-08-10 01:00:00,3,0,0,6,3,18,0,3,6,11,54,0,0,0,26,5,5,0,0,0,1,0,8,17,2
3,2019-08-10 01:30:00,3,0,4,5,4,18,0,2,6,4,42,0,0,0,25,7,10,0,0,0,2,0,6,14,2
4,2019-08-10 02:00:00,4,0,1,6,2,7,0,3,2,7,41,0,4,0,26,4,13,0,0,0,2,0,9,16,2
5,2019-08-10 02:30:00,5,0,3,7,1,8,0,3,1,8,39,0,4,0,26,6,3,0,0,0,2,0,10,17,2
6,2019-08-10 03:00:00,3,0,0,6,0,9,0,2,1,3,34,0,4,0,26,7,2,0,0,0,2,0,7,12,2
7,2019-08-10 03:30:00,5,0,1,6,0,12,0,3,5,8,43,0,0,3,25,4,3,0,0,0,4,0,8,17,2
8,2019-08-10 04:00:00,7,0,1,6,0,11,0,5,8,3,61,0,0,3,23,30,4,0,0,0,2,0,12,10,2
9,2019-08-10 04:30:00,92,3,2,9,0,9,0,2,13,3,58,0,1,3,40,28,4,0,0,0,2,0,60,10,2
10,2019-08-10 05:00:00,100,0,3,10,2,9,0,4,20,4,67,0,0,2,56,36,3,0,0,0,4,0,52,13,3
11,2019-08-10 05:30:00,107,0,1,13,2,6,0,3,29,11,78,0,1,2,51,31,7,0,0,0,2,0,82,16,4
12,2019-08-10 06:00:00,117,3,3,26,6,9,0,4,43,17,107,0,2,3,71,29,12,0,0,3,2,0,90,18,6
13,2019-08-10 06:30:00,114,7,3,16,5,23,0,22,43,9,116,0,0,14,57,61,20,0,0,18,3,3,92,23,4
14,2019-08-10 07:00:00,105,5,5,38,5,23,0,23,57,13,117,0,5,5,38,48,37,0,0,4,4,17,59,13,2
15,2019-08-10 07:30:00,74,12,3,29,18,39,0,29,27,19,104,0,46,8,37,64,32,0,0,26,2,29,54,22,12
16,2019-08-10 08:00:00,74,21,6,19,8,20,0,49,70,31,122,0,3,0,32,61,72,0,0,18,3,13,55,21,13
17,2019-08-10 08:30:00,89,11,5,21,19,23,0,44,73,38,119,0,8,11,14,78,59,0,0,0,8,3,50,25,18
18,2019-08-10 09:00:00,80,11,6,6,28,31,0,4,107,27,127,0,15,6,19,84,70,0,0,0,4,10,60,26,32
19,2019-08-10 09:30:00,88,17,5,16,23,44,0,3,22,33,140,0,82,11,20,58,56,0,0,0,5,4,68,35,39
20,2019-08-10 10:00:00,87,25,3,26,45,43,0,8,94,29,150,0,12,11,31,72,75,0,0,1,4,11,71,36,37
21,2019-08-10 10:30:00,74,26,6,14,34,35,0,18,97,32,145,0,10,5,51,72,78,0,0,13,6,15,76,28,39
22,2019-08-10 11:00:00,91,21,2,9,43,55,0,10,90,19,162,0,8,9,59,74,81,0,0,7,4,7,85,39,35
23,2019-08-10 11:30:00,104,21,2,16,47,44,0,9,70,32,133,0,16,6,41,83,96,0,0,3,5,12,64,46,29
24,2019-08-10 12:00:00,102,18,2,20,58,61,0,13,75,28,160,0,10,3,30,64,127,0,0,0,3,49,56,32,19
25,2019-08-10 12:30:00,86,11,7,27,59,50,0,11,58,32,129,0,2,16,36,63,101,0,0,7,4,34,19,29,79
26,2019-08-10 13:00:00,97,13,17,19,69,60,0,17,48,19,138,0,3,3,36,66,85,0,0,16,4,84,21,32,27
27,2019-08-10 13:30:00,105,21,18,16,73,62,0,44,32,23,145,0,6,8,46,51,72,0,0,17,3,9,24,32,12
28,2019-08-10 14:00:00,103,19,10,17,43,49,0,48,42,25,107,0,4,10,46,60,93,0,0,47,5,7,28,21,34
29,2019-08-10 14:30:00,104,14,24,23,58,31,0,28,20,23,141,0,2,2,42,46,97,0,0,3,5,4,17,26,25
30,2019-08-10 15:00:00,97,11,6,14,62,27,0,18,10,21,111,0,2,4,33,51,88,0,0,3,3,2,26,28,19
31,2019-08-10 15:30:00,11,10,6,24,59,45,0,9,6,20,82,0,2,4,12,50,85,0,0,3,4,4,24,29,18
32,2019-08-10 16:00:00,7,2,1,9,44,29,0,9,5,34,88,0,2,2,15,66,56,0,0,0,2,0,23,34,15
33,2019-08-10 16:30:00,4,3,0,17,43,32,0,19,5,33,89,0,3,3,18,45,46,0,0,6,3,0,18,32,25
34,2019-08-10 17:00:00,3,2,0,10,59,31,0,21,4,32,78,0,3,3,19,39,29,0,0,8,1,0,22,33,20
35,2019-08-10 17:30:00,10,5,0,10,55,22,0,38,5,23,117,0,1,0,12,54,29,0,0,24,2,0,22,42,10
36,2019-08-10 18:00:00,5,4,3,9,45,33,0,8,5,15,79,0,3,1,11,46,25,0,0,67,2,0,20,43,8
37,2019-08-10 18:30:00,3,4,4,6,73,31,0,8,6,23,91,0,1,0,24,47,17,0,0,0,1,0,19,42,10
38,2019-08-10 19:00:00,6,3,4,11,64,23,0,10,5,15,86,0,2,0,20,50,30,0,0,0,2,0,11,40,6
39,2019-08-10 19:30:00,1,4,4,8,54,23,0,6,5,14,71,0,2,2,10,27,18,0,0,0,4,0,16,22,4
40,2019-08-10 20:00:00,1,2,4,7,80,12,0,6,4,8,68,0,2,0,9,16,15,0,0,0,2,0,13,26,9
41,2019-08-10 20:30:00,3,4,2,10,91,17,0,7,2,11,57,0,4,0,8,12,15,0,0,0,2,0,16,16,13
42,2019-08-10 21:00:00,0,4,5,6,115,21,0,2,6,15,68,0,2,0,8,15,18,0,0,0,1,0,8,15,4
43,2019-08-10 21:30:00,8,7,4,8,145,18,0,3,5,10,43,0,2,0,9,14,19,0,0,0,3,0,13,20,6
44,2019-08-10 22:00:00,3,3,4,6,115,19,0,3,4,27,61,0,4,0,11,11,27,0,0,0,1,0,11,20,2
45,2019-08-10 22:30:00,3,0,4,4,150,11,0,3,4,6,65,0,4,0,8,10,19,0,0,0,2,0,11,23,6
46,2019-08-10 23:00:00,4,1,4,5,134,18,0,2,3,13,57,0,4,0,8,7,50,0,0,0,2,0,12,19,3
47,2019-08-10 23:30:00,3,0,3,5,132,7,0,2,6,7,50,0,2,0,11,6,17,0,0,0,2,0,13,20,2
